name,data
HOKTO MALAYSIA SDN BHD.,"{""klien"":""HOKTO MALAYSIA SDN BHD."",""alamat"":""LOT 34652 & 34653, PERSIARAN TEKNOLOGI 4,\nTECHPARK@ENSTEK\n71760 BANDAR BARU ENSTEK\nNEGERI SEMBILAN"",""ampere"":""150A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 1"",""nickname"":""HOKTO MALAYSIA SDN BHD (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""HOKTO MALAYSIA SDN BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
HOKTO MALAYSIA SDN. BHD. (SOLAR SYSTEM),"{""klien"":""HOKTO MALAYSIA SDN. BHD. (SOLAR SYSTEM)"",""alamat"":""NO. 19, LENGKUK TEKNOLOGI 4, TAMAN TEKNOLOGI ENSTEK,\n71760 BANDAR BARU ENSTEK\nNEGERI SEMBILAN"",""ampere"":""972A"",""kepada"":""Melaka"",""voltan"":""400V"",""category"":""Part 1"",""nickname"":""HOKTO MALAYSIA SDN. BHD. (SOLAR SYSTEM)"",""giliran_no"":""1"",""company_name"":""HOKTO MALAYSIA SDN. BHD. (SOLAR SYSTEM)"",""default_remark"":""Protection relay recalibration will expire on 29-08-2027."",""default_remarks"":[""Protection relay recalibration will expire on 29-08-2027."",""Tiada"",""Tiada""]}"
IJM RIMBAYU SHOW GALLERY (SOLAR),"{""klien"":""IJM RIMBAYU SHOW GALLERY (SOLAR)"",""alamat"":""1, JALAN FLORA 3, BANDAR RIMBAYU,\n42500 TELOK PANGLIMA GARANG\nSELANGOR"",""ampere"":""500A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""IJM RIMBAYU SHOW GALLERY (SOLAR)"",""giliran_no"":""1"",""company_name"":""IJM RIMBAYU SHOW GALLERY (SOLAR)"",""default_remark"":""500A PV-ACDB: 244.4V @ 110.5A, PF:0.92.\n200A PV-ACDB: 243.5V @ 62.5A, PF: 0.93."",""default_remarks"":[""500A PV-ACDB: 244.4V @ 110.5A, PF:0.92.\n200A PV-ACDB: 243.5V @ 62.5A, PF: 0.93."",""Tiada"",""Tiada""]}"
IMPACT COLOR SDN BHD,"{""klien"":""IMPACT COLOR SDN BHD"",""alamat"":""LOT PT 9377, JALAN BESAR, KG. BUKIT LANCHONG,\n47650 SUBANG JAYA\nSELANGOR"",""ampere"":""700A"",""kepada"":""Selangor"",""voltan"":""400V SOLAR"",""category"":""Part 3"",""nickname"":""IMPACT COLOR SDN BHD (SOLAR)"",""giliran_no"":""1"",""company_name"":""IMPACT COLOR SDN BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
IMPACT COLOR SDN. BHD,"{""klien"":""IMPACT COLOR SDN. BHD"",""alamat"":""LOT PT 9377 JALAN BESAR\nKG. BUKIT LANCHONG\n47650 SUBANG JAYA\nSELANGOR"",""ampere"":""98A"",""kepada"":""Melaka"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""IMPACT COLOR SDN BHD (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""IMPACT COLOR SDN. BHD"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
IMPACT COLOR SDN. BHD.,"{""klien"":""IMPACT COLOR SDN. BHD."",""alamat"":""LOT PT 9377 JALAN BESAR\nKG. BUKIT LANCHONG\n47650 SUBANG JAYA\nSELANGOR"",""ampere"":""98A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""IMPACT COLOR SDN. BHD. (GILIRAN NO.2)"",""giliran_no"":""2"",""company_name"":""IMPACT COLOR SDN. BHD."",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
INDUSTRAIL CONCRETE PRODUCTS SDN BHD (ICP 2- SOLAR),"{""klien"":""INDUSTRAIL CONCRETE PRODUCTS SDN BHD (ICP 2- SOLAR)"",""alamat"":""PART OF NO. LOT 83338, BATU 6, JALAN KEBUN KAMPUNG JAWA,\n42450 KLANG\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRAIL CONCRETE PRODUCTS SDN BHD (ICP 2- SOLAR)"",""giliran_no"":""1"",""company_name"":""INDUSTRAIL CONCRETE PRODUCTS SDN BHD (ICP 2- SOLAR)"",""default_remark"":""Tiada"",""default_remarks"":[""Tiada"",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD (BM),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (BM)"",""alamat"":""LOT 22936, BATU 6, JALAN KEBUN, KG. JAWA,\n42450 KLANG\nSELANGOR"",""ampere"":""1000A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (BM)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (BM)"",""default_remark"":""Loading: 245V @ 100A. PF:0.90."",""default_remarks"":[""Loading: 245V @ 100A. PF:0.90."",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA - SOLAR SYSTEM),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA - SOLAR SYSTEM)"",""alamat"":""BATU 121/2 KG. TOK MUDA\n42200 KAPAR\nSELANGOR"",""ampere"":""800A"",""kepada"":""Selangor"",""voltan"":""400V"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA - SOLAR SYSTEM)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA - SOLAR SYSTEM)"",""default_remark"":""PV MSB's DPM reading is not tally with the DPM of MSB, to check."",""default_remarks"":[""PV MSB's DPM reading is not tally with the DPM of MSB, to check."",""Tiada"",""Tiada""]}"
INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA),"{""klien"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA)"",""alamat"":""BATU 12 1/2 KG. TOK MUDA\n42200 KAPAR\nSELANGOR"",""ampere"":""100A"",""kepada"":""Selangor"",""voltan"":""11kV"",""category"":""Part 2"",""nickname"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA) (GILIRAN NO.1)"",""giliran_no"":""1"",""company_name"":""INDUSTRIAL CONCRETE PRODUCTS BERHAD (KG. TOK MUDA)"",""default_remark"":""Loading: 11.2kV @ <10A.\nGenset run: 134.88hr @ 63.2kWh."",""default_remarks"":[""Loading: 11.2kV @ <10A.\nGenset run: 134.88hr @ 63.2kWh."",""Tiada"",""Tiada""]}"
